"KEYWORDS","TITLE","ABSTRACT","JOURNAL","YEAR","code","text","class"
NA,"acoustic confusions in immediate memory","Sequences of 6 letters of the alphabet were visually presented for immediate recall to 387 subjects. Errors showed a systematic relationship to original stimuli. This is held to meet a requirement of the decay theory of immediate memory. The same letter vocabulary was used in a test in which subjects were required to identify the letters spoken against a white noise background. A highly significant correlation was found between letters which confused in the listening test, and letters which confused in recall. The role of neurological noise in recall is discussed in relation to these results. It is further argued that information theory is inadequate to explain the memory span, since the nature of the stimulus set, which can be defined quantitatively, as well as the information per item, is likely to be a determining factor.","British Journal of Psychology",1964,"Yes","acoust confus memori sequenc letter alphabet visual present recal subject error show systemat relationship origin stimuli held meet requir decay theori memori letter vocabulari test subject requir identifi letter spoken white nois background high signific correl found letter confus listen test letter confus recal role neurolog nois recal discuss relat result argu inform theori inadequ explain memori span natur stimulus set defin quantit inform item determin factor",1
"frequency","affective and subjective familiarity ratings of 740 dutch words","Based on a sample of 145 Flemish first year psychology students at the University of Leuven (Belgium), affective and subjective familiarity norms were obtained for 740 Dutch words. One group of students (N = 64) rated 370 nouns, and a second group (N = 81) rated 370 personality-trait words on seven-point visual analogue scales, both for the positive-negative, and familiar-unfamiliar dimensions. Test-retest and inter-rate reliability coefficients were very high for both wordsets and response-types. The mean ratings and their standard deviations are presented in the Appendix. Gender differences for specific words are tabulated, and the observed association between the affective and the familiarity ratings is discussed.","Psychologica Belgica",1994,"Yes","frequenc affect subject familiar rate dutch word base sampl flemish year psycholog student univers leuven belgium affect subject familiar norm obtain dutch word group student rate noun group rate person trait word point visual analogu scale posit negat familiar unfamiliar dimens test retest inter rate reliabl coeffici high wordset respons type rate standard deviat present appendix gender differ specif word tabul observ associ affect familiar rate discuss",1
"CAPS,IAPS,affective picture,emotion,psychology,psychometric studies","the development of native chinese affective picture systema pretest in 46 college students","Objective: To develop the native Chinese Affective Picture System (CAPS) for future research on emotion.!Methods: 852 pictures were screened out to make up of CAPS. 46 Chinese university students were collected to rate the valence, arousal and dominance by self-report in a 9-point rating scale for CAPS.!Results: The standard deviations of scores on valence and dominance were greater than that on arousal. Scatter plot showed that the score distribution on the dimension of valence and arousal was wide in CAPS.! Conclusion: Though IAPS (International Affective Picture System) is highly internationally-accessible, there are still significant differences between the two sources. The native Chinese Affective Picture System is necessary.","Chinese Mental Health Journal",2005,"Yes","capsiapsaffect pictureemotionpsychologypsychometr studi develop nativ chines affect pictur systema pretest colleg student object develop nativ chines affect pictur system cap futur research emotionmethod pictur screen make cap chines univers student collect rate valenc arous domin report point rate scale capsresult standard deviat score valenc domin greater arous scatter plot show score distribut dimens valenc arous wide cap conclus iap intern affect pictur system high intern access signific differ sourc nativ chines affect pictur system",1
NA,"relations among emotion appraisal and emotional action readiness","Ss in 2 studies were asked to report on 32 emotional states. Ss were asked to remember instances of experiencing these states and, for each experience, to fill out a questionnaire on appraisal dimensions and action readiness modes. Appraisal patterns as well as patterns of action readiness show distinct relations to various emotional categories, or names; the contributions of both kinds of components to emotion distinction are in part independent and additive. Multiple correlations, predicting action readiness scores from appraisal scores, demonstrated significant relations between particular modes of action readiness and particular appraisal patterns. The results of these studies are interpreted as providing support for the view that emotions can be regarded both as experiences of forms of appraisal and as states of action readiness. Emotions can profitably be analyzed in terms of sets of components, in which action readiness components take an important share. (PsycINFO Database Record (c) 2012 APA, all rights reserved)","Journal of Personality and Social Psychology",1989,"Yes","relat emot apprais emot action readi ss studi ask report emot state ss ask rememb instanc experienc state experi fill questionnair apprais dimens action readi mode apprais pattern pattern action readi show distinct relat emot categori name contribut kind compon emot distinct part independ addit multipl correl predict action readi score apprais score demonstr signific relat mode action readi apprais pattern result studi interpret provid support view emot regard experi form apprais state action readi emot profit analyz term set compon action readi compon import share psycinfo databas record apa right reserv",1
NA,"cognitive structure of emotion terms in indonesia and the netherlands","We investigated the cognitive structure of emotions in Indonesia and The Netherlands in a series of three studies. Sets of 120 emotion terms were selected based on local ratings of prototypicality for ‘‘emotion''. With similarity sortings a threedimensional (evaluation, arousal, dominance) and a four-cluster (positive emotion, sadness, fear, anger) structure was found in each group. Of 50 pairs of translationequivalent terms, 42 pairs were also found to be cognitively equivalent. With these equivalent terms a good fit of a common cognitive emotion structure was demonstrated in both countries. In a fourth and final study, the location of two social emotions, ‘‘shame'' and ‘‘guilt'', in the common structure was found to be closer to ‘‘fear'' and somewhat further away from ‘‘anger'' in Indonesia than in the Netherlands.","Cognition and Emotion",2002,"Yes","cognit structur emot term indonesia netherland investig cognit structur emot indonesia netherland seri studi set emot term select base local rate prototyp emot similar sort threedimension evalu arous domin cluster posit emot sad fear anger structur found group pair translationequival term pair found cognit equival equival term good fit common cognit emot structur demonstr countri fourth final studi locat social emot shame guilt common structur found closer fear anger indonesia netherland",1
"Affect dimensions,Discrete emotions,Emotion elicitation,Emotional films,Gender differences,Validation","ratings for emotion film clips","Film clips are widely utilized to elicit emotion in a variety of research studies. Normative ratings for scenes selected for these purposes support the idea that selected clips correspond to the intended target emotion, but studies reporting normative ratings are limited. Using an ethnically diverse sample of college undergraduates, selected clips were rated for intensity, discreteness, valence, and arousal. Variables hypothesized to affect the perception of stimuli (i.e., gender, race-ethnicity, and familiarity) were also examined. Our analyses generally indicated that males reacted strongly to positively valenced film clips, whereas females reacted more strongly to negatively valenced film clips. Caucasian participants tended to react more strongly to the film clips, and we found some variation by race-ethnicity across target emotions. Finally, familiarity with the films tended to produce higher ratings for positively valenced film clips, and lower ratings for negatively valenced film clips. These findings provide normative ratings for a useful set of film clips for the study of emotion, and they underscore factors to be considered in research that utilizes scenes from film for emotion elicitation.","Behavior Research Methods",2015,"Yes","affect dimensionsdiscret emotionsemot elicitationemot filmsgend differencesvalid rate emot film clip film clip wide util elicit emot varieti research studi normat rate scene select purpos support idea select clip correspond intend target emot studi report normat rate limit ethnic divers sampl colleg undergradu select clip rate intens discret valenc arous variabl hypothes affect percept stimuli gender race ethnic familiar examin analys general male react strong posit valenc film clip femal react strong negat valenc film clip caucasian particip tend react strong film clip found variat race ethnic target emot final familiar film tend produc higher rate posit valenc film clip lower rate negat valenc film clip find provid normat rate set film clip studi emot underscor factor consid research util scene film emot elicit",1
"Emotion recognition,Emotional speech database,Persian,Prosody,Speech","recognizing emotional speech in persian a validated database of persian emotional speech persian esd","[Correction Notice: An Erratum for this article was reported in Vol 47(1) of Behavior Research Methods (see record 2015-07948-022). In Table 3, in the column ""Lexical Content of the Sentences"" in the ""Incongruent"" row, all five words (“Anger, Disgust, Fear, Happiness, Sadness”) should be replaced by “Neutral”.] Research on emotional speech often requires valid stimuli for assessing perceived emotion through prosody and lexical content. To date, no comprehensive emotional speech database for Persian is officially available. The present article reports the process of designing, compiling, and evaluating a comprehensive emotional speech database for colloquial Persian. The database contains a set of 90 validated novel Persian sentences classified in five basic emotional categories (anger, disgust, fear, happiness, and sadness), as well as a neutral category. These sentences were validated in two experiments by a group of 1,126 native Persian speakers. The sentences were articulated by two native Persian speakers (one male, one female) in three conditions: (1) congruent (emotional lexical content articulated in a congruent emotional voice), (2) incongruent (neutral sentences articulated in an emotional voice), and (3) baseline (all emotional and neutral sentences articulated in neutral voice). The speech materials comprise about 470 sentences. The validity of the database was evaluated by a group of 34 native speakers in a perception test. Utterances recognized better than five times chance performance (71.4 {\%}) were regarded as valid portrayals of the target emotions. Acoustic analysis of the valid emotional utterances revealed differences in pitch, intensity, and duration, attributes that may help listeners to correctly classify the intended emotion. The database is designed to be used as a reliable material source (for both text and speech) in future cross-cultural or cross-linguistic studies of emotional speech, and it is available for academic research purposes free of charge. To access the database, please contact the first author. (PsycINFO Database Record (c) 2015 APA, all rights reserved)(journal abstract)","Behavior Research Methods",2015,"Yes","emot recognitionemot speech databasepersianprosodyspeech recogn emot speech persian valid databas persian emot speech persian esd correct notic erratum articl report vol behavior research method record tabl column lexic content sentenc incongru row word anger disgust fear happi sad replac neutral research emot speech requir valid stimuli assess perceiv emot prosodi lexic content date comprehens emot speech databas persian offici present articl report process design compil evalu comprehens emot speech databas colloqui persian databas set valid persian sentenc classifi basic emot categori anger disgust fear happi sad neutral categori sentenc valid experi group nativ persian speaker sentenc articul nativ persian speaker male femal condit congruent emot lexic content articul congruent emot voic incongru neutral sentenc articul emot voic baselin emot neutral sentenc articul neutral voic speech materi compris sentenc valid databas evalu group nativ speaker percept test utter recogn time chanc perform regard valid portray target emot acoust analysi valid emot utter reveal differ pitch intens durat attribut listen correct classifi intend emot databas design reliabl materi sourc text speech futur cross cultur cross linguist studi emot speech academ research purpos free charg access databas contact author psycinfo databas record apa right reservedjourn abstract",1
"Manipulability,Naming latencies,Norms,Objects","four types of manipulability ratings and naming latencies for a set of 560 photographs of objects","The role of objects' motor affordances in cognition is a topic that has gained in popularity over the last decades. However, few studies exist that have normed the different motor dimensions of the objects; this limits researchers regarding usable stimuli, as well as comparability between studies. In the present study, we normed a set of 560 objects on four motor dimensions: the ease with which they can be grasped, moved, and pantomimed and the number of actions they afford. We then examined whether these four dimensions predict objects' naming latency. We believe that these norms will allow researchers interested in the role of motor affordances to have a better control over the dimensions they want to manipulate.","Behavior Research Methods",2015,"Yes","manipulabilitynam latenciesnormsobject type manipul rate name latenc set photograph object role object motor afford cognit topic gain popular decad studi exist norm motor dimens object limit research usabl stimuli compar studi present studi norm set object motor dimens eas grasp move pantomim number action afford examin dimens predict object name latenc norm research interest role motor afford control dimens manipul",1
"Grounded cognition,Semantic richness,Sensory experience ratings (SERs),Visual word recognition","sensory experience ratings sers for 1659 french words relationships with other psycholinguistic variables and visual word recognition","We collected sensory experience ratings (SERs) for 1,659 French words in adults. Sensory experience for words is a recently introduced variable that corresponds to the degree to which words elicit sensory and perceptual experiences (Juhasz {\&} Yap Behavior Research Methods, 45, 160-168, 2013; Juhasz, Yap, Dicke, Taylor, {\&} Gullick Quarterly Journal of Experimental Psychology, 64, 1683-1691, 2011). The relationships of the sensory experience norms with other psycholinguistic variables (e.g., imageability and age of acquisition) were analyzed. We also investigated the degree to which SER predicted performance in visual word recognition tasks (lexical decision, word naming, and progressive demasking). The analyses indicated that SER reliably predicted response times in lexical decision, but not in word naming or progressive demasking. The findings are discussed in relation to the status of SER, the role of semantic code activation in visual word recognition, and the embodied view of cognition.","Behavior Research Methods",2015,"Yes","ground cognitionsemant richnesssensori experi rate sersvisu word recognit sensori experi rate ser french word relationship psycholinguist variabl visual word recognit collect sensori experi rate ser french word adult sensori experi word recent introduc variabl correspond degre word elicit sensori perceptu experi juhasz yap behavior research method juhasz yap dick taylor gullick quarter journal experiment psycholog relationship sensori experi norm psycholinguist variabl imag age acquisit analyz investig degre ser predict perform visual word recognit task lexic decis word name progress demask analys ser reliabl predict respons time lexic decis word name progress demask find discuss relat status ser role semant code activ visual word recognit embodi view cognit",1
"Arabic,Normative database,Picture naming,Psycholinguistic variables,Visual word recognition,Word reading","norms for name agreement familiarity subjective frequency and imageability for 348 object names in tunisian arabic","Normative databases for pictorial stimuli are widely used in research on language processing in order to control for a number of psycholinguistic variables in the selected stimuli. Such resources are lacking for Arabic and its dialectal varieties. In the present study, we aimed to provide Tunisian Arabic (TA) normative data for 348 line drawings taken from Cycowicz, Friedman, Rothstein, and Snodgrass (1997), which include Snodgrass and Vanderwart's (1980) 260 pictures. Norms were collected for the following psycholinguistic variables: name agreement, familiarity, subjective frequency, and imageability. Word length data (in numbers of phonemes and syllables) are also listed in the database. We investigated the effects of these variables on word reading in TA. We found that word length and frequency were the best predictors of word-reading latencies in TA. Name agreement was also a significant predictor of word-reading latencies. A particularly interesting finding was that the semantic variables, imageability and familiarity, affected word-reading latencies in TA. Thus, it would seem that TA readers rely on semantics even when reading individual Arabic words that are transparent in terms of orthography-to-phonology mappings. This database represents a precious and much-needed psycholinguistic resource for researchers investigating language processing in Arabic-speaking populations.","Behavior Research Methods",2016,"Yes","arabicnorm databasepictur namingpsycholinguist variablesvisu word recognitionword read norm agreement familiar subject frequenc imag object name tunisian arab normat databas pictori stimuli wide research languag process order control number psycholinguist variabl select stimuli resourc lack arab dialect varieti present studi aim provid tunisian arab ta normat data line draw cycowicz friedman rothstein snodgrass includ snodgrass vanderwart pictur norm collect psycholinguist variabl agreement familiar subject frequenc imag word length data number phonem syllabl list databas investig effect variabl word read ta found word length frequenc predictor word read latenc ta agreement signific predictor word read latenc interest find semant variabl imag familiar affect word read latenc ta ta reader reli semant read individu arab word transpar term orthographi phonolog map databas repres precious need psycholinguist resourc research investig languag process arab speak popul",1
"Age-of-acquisition,AoA,Estimates,Norms,Ratings","rated age of acquisition norms for over 3200 german words","Words that have been learned early in life are responded to faster than words that have been acquired later. Subjective ratings of acquisition ages have been successfully employed to study the effect of age of acquisition (AoA). Although a large number of norms exist in many languages, fewer are available for German. Therefore, subjective AoA ratings for 3,259 German words were collected online, includ-ing 2,363 nouns and 473 verbs. These words were presented in lists of 140 words, and participants rated the age in years at which they had first learned each word. A split-half correla-tion testified to a high internal reliability. There were also high correlations with rated AoA values for subsets of the items that had been collected in previous studies, in both German and English. Age and gender were found to influence the ratings very weakly, in that older and male participants tended to give slightly higher age ratings. Education, multilingualism, and frequent usage of languages other than German did not exert an influence on the rating values. These new ratings will ex-tend the currently existing norms available for language and reading research across languages and will provide re-searchers with a wider choice of word stimuli. The ratings are available expressed in two measurements: age in years, and AoA rated on a 7-point Likert scale.","Behavior Research Methods",2017,"Yes","age acquisitionaoaestimatesnormsr rate age acquisit norm german word word learn earli life respond faster word acquir subject rate acquisit age success employ studi effect age acquisit aoa larg number norm exist languag fewer german subject aoa rate german word collect onlin includ ing noun verb word present list word particip rate age year learn word split half correla tion testifi high intern reliabl high correl rate aoa valu subset item collect previous studi german english age gender found influenc rate weak older male particip tend give slight higher age rate educ multilingu frequent usag languag german exert influenc rate valu rate tend exist norm languag read research languag provid searcher wider choic word stimuli rate express measur age year aoa rate point likert scale",1
NA,"a new standardized stimulus set for studying need of help recognition neohelp","This article presents the NeoHelp visual stimulus set created to facilitate investigation of need-of-help recognition with clinical and normative populations of different ages, including children. Need-of-help recognition is one aspect of socioemotional development and a necessary precondition for active helping. The NeoHelp consists of picture pairs showing everyday situations: The first item in a pair depicts a child needing help to achieve a goal; the second one shows the child achieving the goal. Pictures of birds in analogue situations are also included. These control stimuli enable implementation of a human-animal categorization task which serves to separate behavioral correlates specific to need-of-help recognition from general differentiation processes. It is a concern in experimental research to ensure that results do not relate to systematic perceptual differences when comparing responses to categories of different content. Therefore, we not only derived the NeoHelp-pictures within a pair from one another by altering as little as possible, but also assessed their perceptual similarity empirically. We show that NeoHelp-picture pairs are very similar regarding low-level perceptual properties across content categories. We obtained data from 60 children in a broad age range (4 to 13 years) for three different paradigms, in order to assess whether the intended categorization and differentiation could be observed reliably in a normative population. Our results demonstrate that children can differentiate the pictures' content regarding both need-of-help category as well as species as intended in spite of the high perceptual similarities. We provide standard response characteristics (hit rates and response times) that are useful for future selection of stimuli and comparison of results across studies. We show that task requirements coherently determine which aspects of the pictures influence response characteristics. Thus, we present NeoHelp, the first open-access standardized visual stimuli set for investigation of need-of-help recognition and invite researchers to use and extend it.","PLoS ONE",2014,"Yes","standard stimulus set studi recognit neohelp articl present neohelp visual stimulus set creat facilit investig recognit clinic normat popul age includ children recognit aspect socioemot develop precondit activ help neohelp consist pictur pair show everyday situat item pair depict child need achiev goal show child achiev goal pictur bird analogu situat includ control stimuli enabl implement human anim categor task serv separ behavior correl specif recognit general differenti process concern experiment research ensur result relat systemat perceptu differ compar respons categori content deriv neohelp pictur pair alter assess perceptu similar empir show neohelp pictur pair similar low level perceptu properti content categori obtain data children broad age rang year paradigm order assess intend categor differenti observ reliabl normat popul result demonstr children differenti pictur content categori speci intend spite high perceptu similar provid standard respons characterist hit rate respons time futur select stimuli comparison result studi show task requir coher determin aspect pictur influenc respons characterist present neohelp open access standard visual stimuli set investig recognit invit research extend",1
NA,"a dataset of metaphors from the italian literature exploring psycholinguistic variables and the role of context","Defining the specific role of the factors that affect metaphor processing is a fundamental step for fully understanding figurative language comprehension, either in discourse and conversation or in reading poems and novels. This study extends the currently available materials on everyday metaphorical expressions by providing the first dataset of metaphors extracted from literary texts and scored for the major psycholinguistic variables, considering also the effect of context. A set of 115 Italian literary metaphors presented in isolation (Experiment 1) and a subset of 65 literary metaphors embedded in their original texts (Experiment 2) were rated on several dimensions (word and phrase frequency, readability, cloze probability, familiarity, concreteness, difficulty and meaningfulness). Overall, literary metaphors scored around medium-low values on all dimensions in both experiments. Collected data were subjected to correlation analysis, which showed the presence of a strong cluster of variables-mainly familiarity, difficulty, and meaningfulness-when literary metaphor were presented in isolation. A weaker cluster was observed when literary metaphors were presented in the original contexts, with familiarity no longer correlating with meaningfulness. Context manipulation influenced familiarity, concreteness and difficulty ratings, which were lower in context than out of context, while meaningfulness increased. Throughout the different dimensions, the literary context seems to promote a global interpretative activity that enhances the open-endedness of the metaphor as a semantic structure constantly open to all possible interpretations intended by the author and driven by the text. This dataset will be useful for the design of future experimental studies both on literary metaphor and on the role of context in figurative meaning, combining ecological validity and aesthetic aspects of language.","PLoS ONE",2014,"Yes","dataset metaphor italian literatur explor psycholinguist variabl role context defin specif role factor affect metaphor process fundament step fulli understand figur languag comprehens discours convers read poem novel studi extend materi everyday metaphor express provid dataset metaphor extract literari text score major psycholinguist variabl effect context set italian literari metaphor present isol experi subset literari metaphor embed origin text experi rate dimens word phrase frequenc readabl cloze probabl familiar concret difficulti meaning literari metaphor score medium low valu dimens experi collect data subject correl analysi show presenc strong cluster variabl familiar difficulti meaning literari metaphor present isol weaker cluster observ literari metaphor present origin context familiar longer correl meaning context manipul influenc familiar concret difficulti rate lower context context meaning increas dimens literari context promot global interpret activ enhanc open ended metaphor semant structur constant open interpret intend author driven text dataset design futur experiment studi literari metaphor role context figur mean combin ecolog valid aesthet aspect languag",1
"Cross-linguistic/dialect differences,Homonyms,Norm reliability,Rating dictionary definitions,Semantic ambiguity","relative meaning frequencies for 578 homonyms in two spanish dialects a cross linguistic extension of the english edom norms","textcopyright} 2015, Psychonomic Society, Inc. Relative meaning frequency is a critical factor to consider in studies of semantic ambiguity. In this work, we examined how this measure may change across the European and Rioplatense dialects of Spanish, as well as how the overall distributional properties differ between Spanish and English, using a computer-assisted norming approach based on dictionary definitions (Armstrong, Tokowicz, {\&} Plaut, 2012). The results showed that the two dialects differ considerably in terms of the relative meaning frequencies of their constituent homonyms, and that the overall distributions of relative frequencies vary considerably across languages, as well. These results highlight the need for localized norms to design powerful studies of semantic ambiguity and suggest that dialectal differences may be responsible for some discrepant effects related to homonymy. In quantifying the reliability of the norms, we also established that as few as seven ratings are needed to converge on a highly stable set of ratings. This approach is therefore a very practical means of acquiring essential data in studies of semantic ambiguity, relative to past approaches, such as those based on the classification of free associates. The norms also present new possibilities for studying semantic ambiguity effects within and between populations who speak one or more languages. The norms and associated software are available for download at http://edom.cnbc.cmu.edu/ or http://www.bcbl.eu/databases/edom/.","Behavior Research Methods",2016,"Yes","cross linguisticdialect differenceshomonymsnorm reliabilityr dictionari definitionssemant ambigu relat mean frequenc homonym spanish dialect cross linguist extens english edom norm textcopyright psychonom societi relat mean frequenc critic factor studi semant ambigu work examin measur chang european rioplatens dialect spanish distribut properti differ spanish english comput assist norm approach base dictionari definit armstrong tokowicz plaut result show dialect differ consider term relat mean frequenc constitu homonym distribut relat frequenc vari consider languag result highlight local norm design power studi semant ambigu suggest dialect differ respons discrep effect relat homonymi quantifi reliabl norm establish rate need converg high stabl set rate approach practic mean acquir essenti data studi semant ambigu relat past approach base classif free associ norm present possibl studi semant ambigu effect popul speak languag norm softwar download httpedomcnbccmu httpwwwbcbleudatabasesedom",1
"Backward associative strength (BAS),Deese/Roediger–McDermott (DRM) paradigm,Theme identifiability","normative study of theme identifiability instructions with and without explanation of the false memory effect","False-memory illusions have been widely studied using the Deese/Roediger-McDermott paradigm (DRM). In this paradigm, words semantically related to a single nonpresented critical word are studied. In a later memory test, critical words are often falsely recalled and recognized. The present normative study was conducted to measure the theme identifiability of 60 associative word lists in Spanish that include six words (e.g., stove, coat, blanket, scarf, chill, and bonnet) that are simultaneously associated with three critical words (e.g., HEAT, COLD, and WINTER; Beato {\&} D{\'{i}}ez, Psicothema, 26, 457-463, 2011). Different levels of backward associative strength were used in the construction of the DRM lists. In addition, we used two types of instructions to obtain theme identifiability. In the without-explanation condition, traditional instructions were used, requesting participants to write the theme list. In the with-explanation condition, the false-memory effect and how the lists were built were explained, and an example of a DRM list and critical words was shown. Participants then had to discover the critical words. The results showed that all lists produced theme identifiability. Moreover, some lists had a higher theme identifiability rate (e.g., 61 {\%} for the critical words LOVE, BOYFRIEND, COUPLE) than others (e.g., 24 {\%} for CITY, PLACE, VILLAGE). After comparing the theme identifiabilities in the different conditions, the results indicated higher theme identifiability when the false-memory effect was explained than without such an explanation. Overall, these new normative data provide a useful tool for those experiments that, for example, aim to analyze the wide differences observed in false memory with DRM lists and the role of theme identifiability.","Behavior Research Methods",2016,"Yes","backward associ strength basdeeseroedig mcdermott drm paradigmthem identifi normat studi theme identifi instruct explan fals memori effect fals memori illus wide studi deeseroedig mcdermott paradigm drm paradigm word semant relat singl nonpres critic word studi memori test critic word fals recal recogn present normat studi conduct measur theme identifi associ word list spanish includ word stove coat blanket scarf chill bonnet simultan critic word heat cold winter beato ez psicothema level backward associ strength construct drm list addit type instruct obtain theme identifi explan condit tradit instruct request particip write theme list explan condit fals memori effect list built explain drm list critic word shown particip discov critic word result show list produc theme identifi list higher theme identifi rate critic word love boyfriend coupl citi place villag compar theme identifi condit result higher theme identifi fals memori effect explain explan normat data provid tool experi aim analyz wide differ observ fals memori drm list role theme identifi",1
"Cued recall,Paired-associate learning","recall and response time norms for englishswahili word pairs and facts about kenya","In the vast literature exploring learning, many studies have used paired-associate stimuli, despite the fact that real-world learning involves many different types of information. One of the most popular materials used in studies of learning has been a set of Swahili-English word pairs for which Nelson and Dunlosky (Memory 2; 325-335, 1994) published recall norms two decades ago. These norms involved use of the Swahili words as cues to facilitate recall of the English translation. It is unclear whether cueing in the opposite direction (from English to Swahili) would lead to symmetric recall performance. Bilingual research has suggested that translation in these two different directions involves asymmetric links that may differentially impact recall performance, depending on which language is used as the cue (Kroll {\&} Stewart, Journal of Memory and Language 33; 149-174,1994). Moreover, the norms for these and many other learning stimuli have typically been gathered from college students. In the present study, we report recall accuracy and response time norms for Swahili words when they are cued by their English translations. We also report norms for a companion set of fact stimuli that may be used along with the Swahili-English word pairs to assess learning on a broader scale across different stimulus materials. Data were collected using Amazon's Mechanical Turk to establish a sample that was diverse in both age and ethnicity. These different, but related, stimulus sets will be applicable to studies of learning, metacognition, and memory in diverse samples.","Behavior Research Methods",2017,"Yes","cu recallpair associ learn recal respons time norm englishswahili word pair fact kenya vast literatur explor learn studi pair associ stimuli fact real world learn involv type inform popular materi studi learn set swahili english word pair nelson dunloski memori publish recal norm decad ago norm involv swahili word cue facilit recal english translat unclear cue opposit direct english swahili lead symmetr recal perform bilingu research suggest translat direct involv asymmetr link differenti impact recal perform depend languag cue kroll stewart journal memori languag norm learn stimuli typic gather colleg student present studi report recal accuraci respons time norm swahili word cu english translat report norm companion set fact stimuli swahili english word pair assess learn broader scale stimulus materi data collect amazon mechan turk establish sampl divers age ethnic relat stimulus set applic studi learn metacognit memori divers sampl",1
"Computational linguistics,Database,Natural language processing,Text processing","development and verification of a verbal corpus based on natural language for ecuadorian dialect","The use of the corpus becomes essential in the development of applications based on natural language processing (NLP). In Ecuador, these applications are incompatible because in each region use words outside the context of Spanish. This article presents the development of a corpus compatible with Ecuadorian natural language words. We applied a identification algorithm to take advantage of local literature and power a new data base. The corpus mounted is verified by a quantitative and qualitative comparison with an open access corpus. The result is the first corpus in this country with high scalability and great versatility. {\textcopyright} 2017 IEEE.",NA,2017,"Yes","comput linguisticsdatabasenatur languag processingtext process develop verif verbal corpus base natur languag ecuadorian dialect corpus essenti develop applic base natur languag process nlp ecuador applic incompat region word context spanish articl present develop corpus compat ecuadorian natur languag word appli identif algorithm advantag local literatur power data base corpus mount verifi quantit qualit comparison open access corpus result corpus countri high scalabl great versatil textcopyright ieee",1
NA,"angst affective norms for german sentiment terms derived from the affective norms for english words","We present the German adaptation of the Affective Norms for English Words (ANEW; Bradley {\&} Lang in Technical Report No. C-1. Gainsville: University of Florida, Center for Research in Psychophysiology). A total of 1,003 Words-German translations of the ANEW material-were rated on a total of six dimensions: The classic ratings of valence, arousal, and dominance (as in the ANEW corpus) were extended with additional arousal ratings using a slightly different scale (see BAWL: V{\~{o}} et al. in Behavior Research Methods 41: 531-538, 2009; V{\~{o}}, Jacobs, {\&} Conrad in Behavior Research Methods 38: 606-609, 2006), along with ratings of imageability and potency. Measures of several objective psycholinguistic variables (different types of word frequency counts, grammatical class, number of letters, number of syllables, and number of orthographic neighbors) for the words were also added, so as to further facilitate the use of this new database in psycholinguistic research. These norms can be downloaded as supplemental materials with this article.","Behavior research methods",2014,"Yes","angst affect norm german sentiment term deriv affect norm english word present german adapt affect norm english word anew bradley lang technic report gainsvill univers florida center research psychophysiolog total word german translat anew materi rate total dimens classic rate valenc arous domin anew corpus extend addit arous rate slight scale bawl al behavior research method jacob conrad behavior research method rate imag potenc measur object psycholinguist variabl type word frequenc count grammat class number letter number syllabl number orthograph neighbor word ad facilit databas psycholinguist research norm download supplement materi articl",1
"Arabic speech database,Phonetically,Rich database,Speaker recognition,Speech corpus","ksu rich arabic speech database","Availability of databases is a necessity in the speech processing field. The publically available databases in Arabic language are few. In this paper we describe a rich database for Arabic language. The database is rich in many dimensions: in text, environments, microphone type, number of recording sessions, recording system, the transmission channel, the country of origin, and the mother language. This richness makes the database an important resource for research in Arabic Language processing and very useful in many speech processing tasks, such as speaker recognition, speech recognition, and accent identification. The speakers were speaking in Modern Standard Arabic (MSA).","Information (Japan)",2013,"Yes","arab speech databasephoneticallyrich databasespeak recognitionspeech corpus ksu rich arab speech databas avail databas necess speech process field public databas arab languag paper describ rich databas arab languag databas rich dimens text environ microphon type number record session record system transmiss channel countri origin mother languag rich make databas import resourc research arab languag process speech process task speaker recognit speech recognit accent identif speaker speak modern standard arab msa",1
"Age of acquisition,Spanish norms,Verb norms,Word attributes","subjective age of acquisition norms for 4640 verbs in spanish","Many studies have shown that how words are processed in a variety of language-related tasks is affected by their age of acquisition (AoA). Most AoA norms have been collected for nouns, a fact that limits the extent to which verb stimuli can be adequately manipulated and controlled in empirical studies. With the aim of increasing the number of verbs with AoA values in Spanish, 900 college students were recruited to provide subjective estimates for a total of 4,640 infinitive and reflexive forms. An AoA score for each verb was obtained by averaging the responses of the participants, and these norms were included, together with additional quantitative information (standard deviations, ranges, and z scores), in a database that can be downloaded with this article as supplemental materials.","Behavior Research Methods",2016,"Yes","age acquisitionspanish normsverb normsword attribut subject age acquisit norm verb spanish studi shown word process varieti languag relat task affect age acquisit aoa aoa norm collect noun fact limit extent verb stimuli adequ manipul control empir studi aim increas number verb aoa valu spanish colleg student recruit provid subject estim total infinit reflex form aoa score verb obtain averag respons particip norm includ addit quantit inform standard deviat rang score databas download articl supplement materi",1
