"","CATEGORY","BIBTEXKEY","ADDRESS","ANNOTE","AUTHOR","BOOKTITLE","CHAPTER","CROSSREF","EDITION","EDITOR","HOWPUBLISHED","INSTITUTION","JOURNAL","KEY","MONTH","NOTE","NUMBER","ORGANIZATION","PAGES","PUBLISHER","SCHOOL","SERIES","TITLE","TYPE","VOLUME","YEAR","ABSTRACT","ISSN","KEYWORDS","URL","ISBN","DOI","code","duplicate"
"347","ARTICLE",NA,NA,NA,"Marc M. SebrechtsCharlotte T. FurstenbergRoxanne M. Shelton",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"2",NA,NA,NA,NA,NA,"remembering computer command names: effects of subject generation versus experimenter imposition",NA,"18",1986,"Two experiments analyzed the effectiveness of goal statements in aiding recall of self-generated as opposed to experimenter-imposed command names. Subjects were presented with a series of before-after pairs representing the computer states before and after a command was executed. In Experiment 1, during study, one group of subjects generated a command name in response to each pair; a second group generated a goal statement describing the goal to be accomplished in addition to generating a command name. During recall, half of each group was required to recall the name, whereas the other half was required to describe the goal before attempting to recall the name. In Experiment 2, during study, command names (and goals for those subjects in the goal condition) were imposed by the experimenter rather than generated by the subject. Subjects who generated goals and names recalled more command names than did those who generated only names or who received imposed goals and/or names. Generation of an appropriate goal at study improved encoding by helping subjects to select more appropriate command names; generation of an appropriate goal at test improved retrieval for appropriate names only, presumably by activating a relevant subset of names. Even in the relatively simple task of naming and remembering command names, having an appropriate model of the domain through the use of specific goal statements substantially improved performance.",NA,"KeywordsGoal Statement Stimulus Pair Distractor Task Study Goal Test Booklet ","http://link.springer.com/article/10.3758/BF03201011",NA,"10.3758/BF03201011","No",TRUE
"348","ARTICLE",NA,NA,NA,"C. ImbaultD. ShoreV. Kuperman",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"6",NA,NA,NA,NA,NA,"reliability of the sliding scale for collecting affective responses to words",NA,"50",2018,"Warriner, Shore, Schmidt, Imbault, and Kuperman, Canadian Journal of Experimental Psychology, 71; 71–88 (2017) have recently proposed a slider task in which participants move a manikin on a computer screen toward or further away from a word, and the distance (in pixels) is a measure of the word’s valence. Warriner, Shore, Schmidt, Imbault, and Kuperman, Canadian Journal of Experimental Psychology, 71; 71–88 (2017) showed this task to be more valid than the widely used rating task, but they did not examine the reliability of the new methodology. In this study we investigated multiple aspects of this task’s reliability. In Experiment 1 (Exps. 1.1–1.6), we showed that the sliding scale has high split-half reliability (r = .868 to .931). In Experiment 2, we also showed that the slider task elicits consistent repeated responses both within a single session (Exp. 2: r = .804) and across two sessions separated by one week (Exp. 3: r = .754). Overall, the slider task, in addition to having high validity, is highly reliable.",NA,"KeywordsValence Arousal Emotion Reliability ","http://link.springer.com/article/10.3758/s13428-018-1016-9",NA,"10.3758/s13428-018-1016-9","No",TRUE
"349","ARTICLE",NA,NA,NA,"Marianna BolognesiRoosmaryn PilgramRomy van den Heerik",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"6",NA,NA,NA,NA,NA,"reliability in content analysis: the case of semantic feature norms classification",NA,"49",2017,"Semantic feature norms (e.g., STIMULUS: car → RESPONSE: <has four wheels>) are commonly used in cognitive psychology to look into salient aspects of given concepts. Semantic features are typically collected in experimental settings and then manually annotated by the researchers into feature types (e.g., perceptual features, taxonomic features, etc.) by means of content analyses—that is, by using taxonomies of feature types and having independent coders perform the annotation task. However, the ways in which such content analyses are typically performed and reported are not consistent across the literature. This constitutes a serious methodological problem that might undermine the theoretical claims based on such annotations. In this study, we first offer a review of some of the released datasets of annotated semantic feature norms and the related taxonomies used for content analysis. We then provide theoretical and methodological insights in relation to the content analysis methodology. Finally, we apply content analysis to a new dataset of semantic features and show how the method should be applied in order to deliver reliable annotations and replicable coding schemes. We tackle the following issues: (1) taxonomy structure, (2) the description of categories, (3) coder training, and (4) sustainability of the coding scheme—that is, comparison of the annotations provided by trained versus novice coders. The outcomes of the project are threefold: We provide methodological guidelines for semantic feature classification; we provide a revised and adapted taxonomy that can (arguably) be applied to both concrete and abstract concepts; and we provide a dataset of annotated semantic feature norms.",NA,"KeywordsContent analysis Intercoder reliability Semantic feature norms ","http://link.springer.com/article/10.3758/s13428-016-0838-6",NA,"10.3758/s13428-016-0838-6","No",TRUE
"350","ARTICLE",NA,NA,NA,"Zhengguo GuKatrijn Van Deun",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,"regularizedsca: regularized simultaneous component analysis of multiblock data in r",NA,NA,2018,"This article introduces a package developed for R (R Core Team, 2017) for performing an integrated analysis of multiple data blocks (i.e., linked data) coming from different sources. The methods in this package combine simultaneous component analysis (SCA) with structured selection of variables. The key feature of this package is that it allows to (1) identify joint variation that is shared across all the data sources and specific variation that is associated with one or a few of the data sources and (2) flexibly estimate component matrices with predefined structures. Linked data occur in many disciplines (e.g., biomedical research, bioinformatics, chemometrics, finance, genomics, psychology, and sociology) and especially in multidisciplinary research. Hence, we expect our package to be useful in various fields.",NA,"KeywordsCommon/distinctive components Group Lasso Lasso Linked data analysis Multiblock analysis Simultaneous component analysis ","http://link.springer.com/article/10.3758/s13428-018-1163-z",NA,"10.3758/s13428-018-1163-z","No",TRUE
"351","ARTICLE",NA,NA,NA,"Emmanuelle KristensenAnne Guerin-Dugu√©Bertrand Rivet",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"6",NA,NA,NA,NA,NA,"regularization and a general linear model for event-related potential estimation",NA,"49",2017,"The usual event-related potential (ERP) estimation is the average across epochs time-locked on stimuli of interest. These stimuli are repeated several times to improve the signal-to-noise ratio (SNR) and only one evoked potential is estimated inside the temporal window of interest. Consequently, the average estimation does not take into account other neural responses within the same epoch that are due to short inter stimuli intervals. These adjacent neural responses may overlap and distort the evoked potential of interest. This overlapping process is a significant issue for the eye fixation-related potential (EFRP) technique in which the epochs are time-locked on the ocular fixations. The inter fixation intervals are not experimentally controlled and can be shorter than the neural response’s latency. To begin, the Tikhonov regularization, applied to the classical average estimation, was introduced to improve the SNR for a given number of trials. The generalized cross validation was chosen to obtain the optimal value of the ridge parameter. Then, to deal with the issue of overlapping, the general linear model (GLM), was used to extract all neural responses inside an epoch. Finally, the regularization was also applied to it. The models (the classical average and the GLM with and without regularization) were compared on both simulated data and real datasets from a visual scene exploration in co-registration with an eye-tracker, and from a P300 Speller experiment. The regularization was found to improve the estimation by average for a given number of trials. The GLM was more robust and efficient, its efficiency actually reinforced by the regularization.",NA,"KeywordsEvent-related potential General linear model Overlap Regularization Eye fixation-related potential P300 Speller ","http://link.springer.com/article/10.3758/s13428-017-0856-z",NA,"10.3758/s13428-017-0856-z","No",TRUE
"352","ARTICLE",NA,NA,NA,"Joseph P. LyonsJoseph Brown",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods & Instrumentation",NA,NA,NA,"4",NA,NA,NA,NA,NA,"reduction in clinical assessment time using computer algorithms",NA,"13",1981,"A new mathematical procedure (BIDALGO) is suggested for application to the psychological testing field. BIDALGO, similar to past adaptive testing methods, is compared both with MMPI short-form efforts and applications in the educational testing literature. A comparison is also made between linear regression models used in past efforts and the Bayesian decision models used in BIDALGO. The requirements for an MMPI application are delineated, emphasizing branching procedures for specific scales and difficulties expected in achieving code-type congruence. Work in progress of applying BIDALGO to the depression scale and the full MMPI is also described.",NA,"KeywordsMedical Record Review Scale Category Correct Classification Rate Minnesota Multiphasic Personality Inventory Code Type ","http://link.springer.com/article/10.3758/BF03202045",NA,"10.3758/BF03202045","No",TRUE
"353","ARTICLE",NA,NA,NA,"Birte A√ümannMarco ThielMaria C. RomanoCarsten Niemitz",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"3",NA,NA,NA,NA,NA,"recurrence plot analyses suggest a novel reference system involved in newborn spontaneous movements",NA,"38",2006,"The movements of newborns have been thoroughly studied in terms of reflexes, muscle synergies, leg coordination, and target-directed arm/hand movements. Since these approaches have concentrated mainly on separate accomplishments, there has remained a clear need for more integrated investigations. Here, we report an inquiry in which we explicitly concentrated on taking such a perspective and, additionally, were guided by the methodological concept of home base behavior, which Ilan Golani developed for studies of exploratory behavior in animals. Methods from nonlinear dynamics, such as symbolic dynamics and recurrence plot analyses of kinematic data received from audiovisual newborn recordings, yielded new insights into the spatial and temporal organization of limb movements. In the framework of home base behavior, our approach uncovered a novel reference system of spontaneous newborn movements.",NA,"KeywordsJoint Angle Motor Behavior Exploratory Behavior Kinematic Data Symbolic Dynamic ","http://link.springer.com/article/10.3758/BF03192793",NA,"10.3758/BF03192793","No",TRUE
"354","ARTICLE",NA,NA,NA,"Laura E. MatzenZachary O. BenzKevin R. DixonJamie PoseyJames K. KrogerAnn E. Speed",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"2",NA,NA,NA,NA,NA,"recreating raven‚Äôs: software for systematically generating large numbers of raven-like matrix problems with normed properties",NA,"42",2010,"Raven’s Progressive Matrices is a widely used test for assessing intelligence and reasoning ability (Raven, Court, & Raven, 1998). Since the test is nonverbal, it can be applied to many different populations and has been used all over the world (Court & Raven, 1995). However, relatively few matrices are in the sets developed by Raven, which limits their use in experiments requiring large numbers of stimuli. For the present study, we analyzed the types of relations that appear in Raven’s original Standard Progressive Matrices (SPMs) and created a software tool that can combine the same types of relations according to parameters chosen by the experimenter, to produce very large numbers of matrix problems with specific properties. We then conducted a norming study in which the matrices we generated were compared with the actual SPMs. This study showed that the generated matrices both covered and expanded on the range of problem difficulties provided by the SPMs.",NA,"KeywordsAverage Accuracy Logic Problem Incorrect Answer Sandia National Laboratory Norming Study ","http://link.springer.com/article/10.3758/BRM.42.2.525",NA,"10.3758/BRM.42.2.525","No",TRUE
"355","ARTICLE",NA,NA,NA,"Andr√©s Gaona-Gonz√°lezAna Mar√≠a Santill√°n-DohertyRita Virginia Arenas-RosasJairo Mu√±oz-DelgadoMiguel Angel Aguill√≥n-Pantale√≥nJos√© Domingo Ordo√±ez-G√≥mezAlejandra M√°rquez-Arias",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"2",NA,NA,NA,NA,NA,"recording vocalizations with bluetooth technology",NA,"43",2011,"We propose a method for capturing vocalizations that is designed to avoid some of the limiting factors found in traditional bioacoustical methods, such as the impossibility of obtaining continuous long-term registers or analyzing amplitude due to the continuous change of distance between the subject and the position of the recording system. Using Bluetooth technology, vocalizations are captured and transmitted wirelessly into a receiving system without affecting the quality of the signal. The recordings of the proposed system were compared to those obtained as a reference, which were based on the coding of the signal with the so-called pulse-code modulation technique in WAV audio format without any compressing process. The evaluation showed p < .05 for the measured quantitative and qualitative parameters. We also describe how the transmitting system is encapsulated and fixed on the animal and a way to video record a spider monkey’s behavior simultaneously with the audio recordings.",NA,"KeywordsBluetooth Captivity Ateles geoffroyi Vocalizations ","http://link.springer.com/article/10.3758/s13428-010-0052-x",NA,"10.3758/s13428-010-0052-x","No",TRUE
"356","ARTICLE","Geyer1981",NA,NA,"c(""Geyer, L. H."", ""Gupta, S. M."")",NA,NA,NA,NA,NA,NA,NA,"Perception {\&} Psychophysics",NA,"may",NA,"3",NA,"280--282",NA,NA,NA,"recognition/confusion of dot matrix vs. conventional font capital letters",NA,"29",1981,NA,"0031-5117",NA,"http://www.springerlink.com/index/10.3758/BF03207295",NA,"10.3758/BF03207295","Yes",TRUE
"357","ARTICLE",NA,NA,NA,"James N. MacGregorJ. Barton Cunningham",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"1",NA,NA,NA,NA,NA,"rebus puzzles as insight problems",NA,"40",2008,"Research on insight—the phenomenon of suddenly solving an apparently intransigent problem—has been hampered because stimulus problems have been few, ad hoc, heterogeneous, and difficult to solve. Responding to the need for a larger pool of problems of a similar type and of varying level of difficulty, we report an experiment testing the validity of rebuses as insight problems. A rebus combines verbal and visual clues to a common phrase, such as PAINS (“growing pains”). Solving a rebus requires breaking implicit assumptions of normal reading, similar to the restructuring required in insight. We hypothesized that, the more implicit assumptions are involved, the more difficult the solution. The results of a two-part experiment supported the hypothesis, with participants solving more problems involving one assumption than they did problems involving two or more. Also, rebus performance correlated significantly with self-rated insight and with scores on remote associates, but not with general verbal ability. The findings suggest that rebus puzzles may be a useful source of theoretically grounded insight problems.",NA,"KeywordsWork Memory Capacity Insight Problem Remote Associate Test Insight Rating Remote Associate ","http://link.springer.com/article/10.3758/BRM.40.1.263",NA,"10.3758/BRM.40.1.263","No",TRUE
"358","ARTICLE",NA,NA,NA,"Marcus Nystr√∂mDiederick C. NiehorsterTim CornelissenHenrik Garde",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"4",NA,NA,NA,NA,NA,"real-time sharing of gaze data between multiple eye trackers‚Äìevaluation, tools, and advice",NA,"49",2017,"Technological advancements in combination with significant reductions in price have made it practically feasible to run experiments with multiple eye trackers. This enables new types of experiments with simultaneous recordings of eye movement data from several participants, which is of interest for researchers in, e.g., social and educational psychology. The Lund University Humanities Laboratory recently acquired 25 remote eye trackers, which are connected over a local wireless network. As a first step toward running experiments with this setup, demanding situations with real time sharing of gaze data were investigated in terms of network performance as well as clock and screen synchronization. Results show that data can be shared with a sufficiently low packet loss (0.1 %) and latency (M = 3 ms, M A D = 2 ms) across 8 eye trackers at a rate of 60 Hz. For a similar performance using 24 computers, the send rate needs to be reduced to 20 Hz. To help researchers conduct similar measurements on their own multi-eye-tracker setup, open source software written in Python and PsychoPy are provided. Part of the software contains a minimal working example to help researchers kick-start experiments with two or more eye trackers.",NA,"KeywordsEye tracking Digital classroom Shared gaze ","http://link.springer.com/article/10.3758/s13428-016-0806-1",NA,"10.3758/s13428-016-0806-1","No",TRUE
"359","ARTICLE",NA,NA,NA,"Mariah MoorePeter C. Gordon",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"4",NA,NA,NA,NA,NA,"reading ability and print exposure: item response theory analysis of the author recognition test",NA,"47",2015,"In the author recognition test (ART), participants are presented with a series of names and foils and are asked to indicate which ones they recognize as authors. The test is a strong predictor of reading skill, and this predictive ability is generally explained as occurring because author knowledge is likely acquired through reading or other forms of print exposure. In this large-scale study (1,012 college student participants), we used item response theory (IRT) to analyze item (author) characteristics in order to facilitate identification of the determinants of item difficulty, provide a basis for further test development, and optimize scoring of the ART. Factor analysis suggested a potential two-factor structure of the ART, differentiating between literary and popular authors. Effective and ineffective author names were identified so as to facilitate future revisions of the ART. Analyses showed that the ART is a highly significant predictor of the time spent encoding words, as measured using eyetracking during reading. The relationship between the ART and time spent reading provided a basis for implementing a higher penalty for selecting foils, rather than the standard method of ART scoring (names selected minus foils selected). The findings provide novel support for the view that the ART is a valid indicator of reading volume. Furthermore, they show that frequency data can be used to select items of appropriate difficulty, and that frequency data from corpora based on particular time periods and types of texts may allow adaptations of the test for different populations.",NA,"KeywordsPrint exposure Author recognition test Item response theory Eye movements Reading ","http://link.springer.com/article/10.3758/s13428-014-0534-3",NA,"10.3758/s13428-014-0534-3","No",TRUE
"360","ARTICLE",NA,NA,NA,"R. L. Brown",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"5",NA,NA,NA,NA,NA,"rancova: a minitab macro for the calculation of nonparametric (ranked) analysis of covariance",NA,"17",1985,NA,NA,"KeywordsLinear Discriminant Analysis Behavior Research Method Interactive Session Digital Equipment Corpus Rank Transformation ","http://link.springer.com/article/10.3758/BF03207656",NA,"10.3758/BF03207656","No",TRUE
"361","ARTICLE",NA,NA,NA,"Margaret WardleKatherine CederbaumHarriet de Wit",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"1",NA,NA,NA,NA,NA,"quantifying talk: developing reliable measures of verbal productivity",NA,"43",2011,"Measuring talkativeness is of interest to several areas of research. However, there are few brief, validated measures available. We examined test-retest reliability, inter-relationships and convergent/divergent validity for five brief measures of verbal productivity. Nineteen men and 32 women participated in four sessions, completing five speech tasks that varied in demand, purpose of speech and sociability. Several potential metrics (word count, duration and rate) were examined. All tasks except a novel Unprompted Speech task demonstrated good word count test-retest reliability (interclass correlation coefficients from .71 to .85). Factor analysis revealed low-demand, non-functional tasks formed one factor (“Voluntary Talkativeness”), while higher demand tasks formed a second factor (“Speech Ability”). This finding and examination of relationships with IQ, personality and gender indicate “Voluntary Talkativeness” is not wholly accounted for by verbal ability, and is only weakly related to self-reported personality. Recommendations for the measurement of “Voluntary Talkativeness” are made.",NA,"KeywordsTalkativeness Speech Task validation Factor analysis ","http://link.springer.com/article/10.3758/s13428-010-0019-y",NA,"10.3758/s13428-010-0019-y","No",TRUE
"362","ARTICLE",NA,NA,NA,"Antonio SolanasLlu√≠s SalafrancaCarles RibaVicenta SierraDavid Leiva",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"3",NA,NA,NA,NA,NA,"quantifying social asymmetric structures",NA,"38",2006,"Many social phenomena involve a set of dyadic relations among agents whose actions may be dependent. Although individualistic approaches have frequently been applied to analyze social processes, these are not generally concerned with dyadic relations, nor do they deal with dependency. This article describes a mathematical procedure for analyzing dyadic interactions in a social system. The proposed method consists mainly of decomposing asymmetric data into their symmetric and skew-symmetric parts. A quantification of skew symmetry for a social system can be obtained by dividing the norm of the skew-symmetric matrix by the norm of the asymmetric matrix. This calculation makes available to researchers a quantity related to the amount of dyadic reciprocity. With regard to agents, the procedure enables researchers to identify those whose behavior is asymmetric with respect to all agents. It is also possible to derive symmetric measurements among agents and to use multivariate statistical techniques.",NA,"KeywordsPartner Effect Social Researcher Generalize Reciprocity Dyadic Relation Social Interaction Behavior ","http://link.springer.com/article/10.3758/BF03192792",NA,"10.3758/BF03192792","No",TRUE
"363","ARTICLE",NA,NA,NA,"Arthur C. GraesserKatja Wiemer-hastingsRoger KreuzPeter Wiemer-hastingsKent Marquis",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"2",NA,NA,NA,NA,NA,"quaid: a questionnaire evaluation aid for survey methodologists",NA,"32",2000,"QUAID (question-understanding aid) is a software tool that assists survey methodologists, social scientists, and designers of questionnaires in improving the wording, syntax, and semantics of questions. The tool identifies potential problems that respondents might have in comprehending the meaning of questions on questionnaires. These problems can be scrutinized by researchers when they revise questions to improve question comprehension and, thereby, enhance the reliability and validity of answers. QUAID was designed to identify nine classes of problems, but only five of these problems are addressed in this article: unfamiliar technical term, vague or imprecise relative term, vague or ambiguous noun phrase, complex syntax, and working memory overload. We compared the output of QUAID with ratings of language experts who evaluated a corpus of questions on the five classes of problems. The corpus consisted of 505 questions on 11 surveys developed by the U.S. Census Bureau. Analyses of hit rates, false alarm rates,d′ scores, recall scores, and precision scores revealed that QUAID was able to identify these five problems with questions, although improvements in QUAID’s performance are anticipated in future research and development.",NA,"KeywordsFalse Alarm Rate Noun Phrase Human Expert Working Memory Load Recall Score ","http://link.springer.com/article/10.3758/BF03207792",NA,"10.3758/BF03207792","No",TRUE
"364","ARTICLE",NA,NA,NA,"Andrew HeathcoteScott BrownDenis Cousineau",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"2",NA,NA,NA,NA,NA,"qmpe: estimating lognormal, wald, and weibull rt distributions with a parameter-dependent lower bound",NA,"36",2004,"We describe and test quantile maximum probability estimator (QMPE), an open-source ANSI Fortran 90 program for response time distribution estimation.1 QMPE enables users to estimate parameters for the ex-Gaussian and Gumbel (1958) distributions, along with three “shifted” distributions (i.e., distributions with a parameter-dependent lower bound): the Lognormal, Wald, and Weibull distributions. Estimation can be performed using either the standard continuous maximum likelihood (CML) method or quantile maximum probability (QMP; Heathcote & Brown, in press). We review the properties of each distribution and the theoretical evidence showing that CML estimates fail for some cases with shifted distributions, whereas QMP estimates do not. In cases in which CML does not fail, a Monte Carlo investigation showed that QMP estimates were usually as good, and in some cases better, than CML estimates. However, the Monte Carlo study also uncovered problems that can occur with both CML and QMP estimates, particularly when samples are small and skew is low, highlighting the difficulties of estimating distributions with parameter-dependent lower bounds.",NA,"KeywordsWeibull Distribution Skewed Distribution Royal Statistical Society Monte Carlo Study Shift Parameter ","http://link.springer.com/article/10.3758/BF03195574",NA,"10.3758/BF03195574","No",TRUE
"365","ARTICLE",NA,NA,NA,"Scott BrownAndrew Heathcote",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"4",NA,NA,NA,NA,NA,"qmle: fast, robust, and efficient estimation of distribution functions based on quantiles",NA,"35",2003,"Quantile maximum likelihood (QML) is an estimation technique, proposed by Heathcote, Brown, and Mewhort (2002), that provides robust and efficient estimates of distribution parameters, typically for response time data, in sample sizes as small as 40 observations. In view of the computational difficulty inherent in implementing QML, we provide open-source Fortran 90 code that calculates QML estimates for parameters of the ex-Gaussian distribution, as well as standard maximum likelihood estimates. We show that parameter estimates from QML are asymptotically unbiased and normally distributed. Our software provides asymptotically correct standard error and parameter intercorrelation estimates, as well as producing the outputs required for constructing quantile—quantile plots. The code is parallelizable and can easily be modified to estimate parameters from other distributions. Compiled binaries, as well as the source code, example analysis files, and a detailed manual, are available for free on the Internet.",NA,"KeywordsResponse Time Distribution Response Time Data Quantile Estimate Weak Model Chonomic Bulletin ","http://link.springer.com/article/10.3758/BF03195527",NA,"10.3758/BF03195527","No",TRUE
"366","ARTICLE",NA,NA,NA,"Alec SolwayAaron S. GellerPer B. SederbergMichael J. Kahana",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"1",NA,NA,NA,NA,NA,"pyparse: a semiautomated system for scoring spoken recall data",NA,"42",2010,"Studies of human memory often generate data on the sequence and timing of recalled items, but scoring such data using conventional methods is difficult or impossible. We describe a Python-based semiautomated system that greatly simplifies this task. This software, called PyParse, can easily be used in conjunction with many common experiment authoring systems. Scored data is output in a simple ASCII format and can be accessed with the programming language of choice, allowing for the identification of features such as correct responses, prior-list intrusions, extra-list intrusions, and repetitions.",NA,"KeywordsWord Recognition Free Recall Anchor Point Audio File Onset Detection ","http://link.springer.com/article/10.3758/BRM.42.1.141",NA,"10.3758/BRM.42.1.141","No",TRUE
"367","ARTICLE",NA,NA,NA,"Bert HoeksWillem J. M. Levelt",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"1",NA,NA,NA,NA,NA,"pupillary dilation as a measure of attention: a quantitative system analysis",NA,"25",1993,"It has long been known that the pupil dilates as a consequence of attentional effort. But the function that relates attentional input to pupillary output has never been the subject of quantitative analysis. We present a system analysis of the pupillary response to attentional input. Attentional input is modeled as a string ofattentional pulses. We show that the system is linear; the effects of input pulses on the pupillary response are additive. The impulse response has essentially a gamma distribution with two free parameters. These parameters are estimated; they are fairly constant over tasks and subjects. The paper presents a method of estimating the string of attentional input pulses, given some average pupillary output. The method involves the technique of deconvolution; it can be implemented with a public-domain software package, Pupil.",NA,"KeywordsImpulse Response Input Pulse Pupillary Dilation Pupil Size Pupil Diameter ","http://link.springer.com/article/10.3758/BF03204445",NA,"10.3758/BF03204445","No",TRUE
"368","ARTICLE",NA,NA,NA,"Walter SchneiderD. J BolgerAmy EschmanChristopher NeffAnthony P. Zuccolotto",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods",NA,NA,NA,"2",NA,NA,NA,NA,NA,"psychology experiment authoring kit (peak): formal usability testing of an easy-to-use method for creating computerized experiments",NA,"37",2005,"In academic courses in which one task for the students is to understand empirical methodology and the nature of scientific inquiry, the ability of students to create and implement their own experiments allows them to take intellectual ownership of, and greatly facilitates, the learning process. The Psychology Experiment Authoring Kit (PEAK) is a novel spreadsheet-based interface allowing students and researchers with rudimentary spreadsheet skills to create cognitive and cognitive neuroscience experiments in minutes. Students fill in a spreadsheet listing of independent variables and stimuli, insert columns that represent experimental objects such as slides (presenting text, pictures, and sounds) and feedback displays to create complete experiments, all within a single spreadsheet. The application then executes experiments with centisecond precision. Formal usability testing was done in two stages: (1) detailed coding of 10 individual subjects in one-on-one experimenter/subject videotaped sessions and (2) classroom testing of 64 undergraduates. In both individual and classroom testing, the students learned to effectively use PEAK within 2 h, and were able to create a lexical decision experiment in under 10 min. Findings from the individual testing in Stage 1 resulted in significant changes to documentation and training materials and identification of bugs to be corrected. Stage 2 testing identified additional bugs to be corrected and new features to be considered to facilitate student understanding of the experiment model. Such testing will improve the approach with each semester. The students were typically able to create their own projects in 2 h.",NA,"KeywordsLexical Decision Behavior Research Method Lexical Decision Experiment Psychology Major Feedback Display ","http://link.springer.com/article/10.3758/BF03192699",NA,"10.3758/BF03192699","No",TRUE
"369","ARTICLE",NA,NA,NA,"James H. JohnsonRonald A. GiannettiThomas A. Williams",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods & Instrumentation",NA,NA,NA,"2",NA,NA,NA,NA,NA,"psychological systems questionnaire: an objective personality test designed for on-line computer presentation, scoring, and interpretation",NA,"11",1979,"Previous research efforts to use on-line computer systems for personality assessment are briefly reviewed. Shortcomings in the conversion of paper-and-pencil testing forms to computer media are noted. Construction of a new instrument, specifically designed for use with an on-line computer system, is described. Advantages of this approach are noted.",NA,"KeywordsItem Pool Minnesota Multiphasic Personality Inventory Computer Interview Standardize Psychological Test Psychiatric Assessment Unit ","http://link.springer.com/article/10.3758/BF03205660",NA,"10.3758/BF03205660","No",TRUE
"370","ARTICLE",NA,NA,NA,"James C. MundtPhilip F. KelleherM. W. PerrineJohn S. Searles",NA,NA,NA,NA,"NULL",NA,NA,"Behavior Research Methods, Instruments, & Computers",NA,NA,NA,"4",NA,NA,NA,NA,NA,"psychological performance assessment via interactive voice response systems",NA,"29",1997,"Two experiments examined the feasibility of psychological assessment using interactive voice response (IVR) technology and the potential sensitivity of such assessments to alcohol and fatigue effects. In Experiment 1, 10 subjects performed a 12-min battery of six IVR-administered tasks, Monday through Friday, over 2 weeks. Minimal learning effects were evident during training. Repeated administrations indicated high test-retest reliabilities. In Experiment 2 (double-blind, alcohol/placebo crossover design), 7 subjects were tested every 2 h over a 24-h period during two experimental sessions (peak blood alcohol concentrations =80 mg/dL). Several IVR-administered tasks were sensitive to alcohol impairment, but not as sensitive as laboratory-based measures specifically designed to assess alcohol impairment. Little evidence for fatigue-related impairment was obtained. The results support optimism for the potential to assess psychomotor and cognitive functioning distally via telephony; however, further refinement and validation of the methods are needed.",NA,"KeywordsInteractive Voice Response Dose Condition Interactive Voice Response System Memory Probe Drinking Period ","http://link.springer.com/article/10.3758/BF03210602",NA,"10.3758/BF03210602","No",TRUE
